Temp_min,Temp_max,DisO2_min,DisO2_max,pH_min,pH_max,Conductivity_min,Conductivity_max,N_min,N_max,Fecal_Col_min,Fecal_Col_max,Total_Coli_min,Total_Coli_max,BOD_avg,Type_RIVER,Type_LAKE ,Type_TANK ,Type_WETLAND ,Type_POND 
22.0,33.0,6.3,7.7,6.7,7.8,43.0,132.0,0.3,0.3,800.0,5000.0,1700.0,24000.0,1.6,1,0,0,0,0
16.0,29.0,6.0,7.2,7.0,7.8,199.0,235.0,0.6,0.8,300.0,360.0,720.0,1400.0,2.1,1,0,0,0,0
23.0,25.0,6.8,10.0,7.2,7.7,132.0,169.0,0.6,1.2,300.0,730.0,910.0,2000.0,2.25,1,0,0,0,0
18.0,34.0,5.5,7.8,7.0,8.0,109.0,279.0,0.6,1.1,300.0,360.0,360.0,1100.0,2.25,1,0,0,0,0
20.0,32.0,4.8,7.2,7.0,7.7,86.0,108.0,0.6,1.2,300.0,730.0,910.0,1500.0,2.1500000000000004,1,0,0,0,0
19.0,32.0,4.1,6.7,6.6,8.0,90.0,190.0,0.7,1.0,300.0,1100.0,730.0,2300.0,2.55,1,0,0,0,0
24.0,33.0,4.7,5.5,7.3,7.8,113.0,149.0,0.6,0.9,300.0,910.0,730.0,2000.0,2.25,1,0,0,0,0
19.0,24.0,4.1,5.3,7.0,7.6,96.0,124.0,0.7,4.8,300.0,730.0,910.0,1500.0,2.25,1,0,0,0,0
21.0,24.0,4.1,5.2,6.8,7.5,126.0,152.0,0.7,1.0,300.0,910.0,1100.0,2000.0,2.4,1,0,0,0,0
19.0,34.0,5.0,7.3,7.0,7.8,143.0,219.0,0.7,1.2,300.0,910.0,720.0,2300.0,2.3,1,0,0,0,0
18.0,33.0,6.0,8.0,6.7,7.8,55.0,92.0,0.7,1.1,300.0,360.0,360.0,1100.0,2.2,1,0,0,0,0
20.0,32.0,4.6,9.8,7.2,7.5,98.0,150.0,0.6,1.0,300.0,910.0,1100.0,2000.0,2.0,1,0,0,0,0
